"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
_LandingOutlineButton,package:roomora/views/pages/landing_page.dart,1,32,32,0,0,0,0,0,1,32,32,0
_LandingGradientButton,package:roomora/views/pages/landing_page.dart,1,32,32,0,0,0,0,0,1,32,32,0
Vector2,package:vector_math/vector_math_64.dart,2,32,32,0,0,0,0,0,2,32,32,0
_ClerkAuthState,package:clerk_flutter/src/widgets/control/clerk_auth.dart,1,32,32,0,0,0,0,0,1,32,32,0
RootView,package:roomora/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
SignInView,package:roomora/views/pages/Auth/sign_in_page.dart,1,16,16,0,0,0,0,0,1,16,16,0
SignUpView,package:roomora/views/pages/Auth/sign_up_page.dart,1,16,16,0,0,0,0,0,1,16,16,0
RoomoraApp,package:roomora/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
_Empty,package:rxdart/src/utils/empty.dart,1,16,16,0,0,0,0,0,1,16,16,0
MapPage,package:roomora/views/pages/map_page.dart,1,16,16,0,0,0,0,0,1,16,16,0
_JNullReference,package:jni/src/jreference.dart,1,16,16,0,0,0,0,0,1,16,16,0
AlreadySubscribedException,package:geolocator_platform_interface/src/errors/already_subscribed_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
BackendManager,package:hive/src/backend/vm/backend_manager.dart,1,16,16,0,0,0,0,0,1,16,16,0
JObject,package:jni/src/jobject.dart,1,16,16,0,0,0,0,0,1,16,16,0
LandlordProfilePage,package:roomora/views/pages/landlord_profile_page.dart,1,16,16,0,0,0,0,0,1,16,16,0
$JString$Type$,package:jni/src/core_bindings.dart,1,16,16,0,0,0,0,0,1,16,16,0
jbooleanType,package:jni/src/types.dart,1,16,16,0,0,0,0,0,1,16,16,0
Epoch,package:clerk_auth/src/utils/extensions.dart,1,16,16,0,0,0,0,0,1,16,16,0
jintType,package:jni/src/types.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultHttpService,package:clerk_auth/src/clerk_auth/http_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
ClerkSdkFlags,package:clerk_flutter/src/utils/clerk_sdk_flags.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExternalErrorCollection,package:clerk_auth/src/models/api/external_error.dart,1,16,16,0,0,0,0,0,1,16,16,0
UnicodeGlyphSet,package:term_glyph/src/generated/unicode_glyph_set.dart,1,16,16,0,0,0,0,0,1,16,16,0
Uuid,package:uuid/uuid.dart,1,16,16,0,0,0,0,0,1,16,16,0
ClerkSdkLocalizationsEn,package:clerk_flutter/generated/clerk_sdk_localizations_en.dart,1,16,16,0,0,0,0,0,1,16,16,0
_UpdateLock,package:clerk_flutter/src/clerk_auth_state.dart,1,16,16,0,0,0,0,0,1,16,16,0
ClerkSdkGrammarEn,package:clerk_flutter/src/utils/clerk_sdk_grammar.dart,1,16,16,0,0,0,0,0,1,16,16,0
Clock,package:clock/src/clock.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidFlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/platform_flutter_local_notifications.dart,1,16,16,0,0,0,0,0,1,16,16,0
GeolocatorAndroid,package:geolocator_android/src/geolocator_android.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocalFileSystem,package:file/src/backends/local/local_file_system.dart,1,16,16,0,0,0,0,0,1,16,16,0
ApiService,package:roomora/services/api_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidInitializationSettings,package:flutter_local_notifications/src/platform_specifics/android/initialization_settings.dart,1,16,16,0,0,0,0,0,1,16,16,0
SphericalMercator,package:flutter_map/src/geo/crs.dart,1,16,16,0,0,0,0,0,1,16,16,0
UnconstrainedCamera,package:flutter_map/src/map/camera/camera_constraint.dart,1,16,16,0,0,0,0,0,1,16,16,0
LandingView,package:roomora/views/pages/landing_page.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocationServiceDisabledException,package:geolocator_platform_interface/src/errors/location_service_disabled_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
